trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_2650,emrA,KFF-acpP Jvpna-21 ECP_1086,2,2;4
micA,micA,KFF-acpP Jvpna-21 ECP_1086,2,1;6
micA,micA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;10
micA,micA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,7;8
ECP_2677,ascB,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;9
ECP_2684,ECP_2684,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;10
ECP_2685,ECP_2685,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;5
ECP_2685,ECP_2685,KFF-acpP Jvpna-21 ECP_1086,2,1;5
ECP_2685,ECP_2685,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;10
ECP_2696,ECP_2696,KFF-acpP Jvpna-21 ECP_1086,2,9;10
ECP_2727,ECP_2727,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;9
ECP_2741,NA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;8
ECP_2815,ECP_2815,KFF-acpP Jvpna-21 ECP_1086,2,1;10
ECP_2815,ECP_2815,KFF-acpP Jvpna-21 ECP_1086 reverse,2,9;10
ECP_2821,NA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,9;10
ECP_2832,ECP_2832,KFF-acpP Jvpna-21 ECP_1086,2,2;5
ECP_2833,ECP_2833,KFF-acpP Jvpna-21 ECP_1086,2,1;4
ECP_2833,ECP_2833,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;10
ECP_2859,ECP_2859,KFF-acpP Jvpna-21 ECP_1086,2,4;6
ECP_2868,ECP_2868,KFF-acpP Jvpna-21 ECP_1086 reverse,2,6;9
ECP_2939,endA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,6;8
ECP_2952,ECP_2952,KFF-acpP Jvpna-21 ECP_1086,2,4;10
ECP_2956,yggX,KFF-acpP Jvpna-21 ECP_1086,2,5;10
ECP_2986,ECP_2986,KFF-acpP Jvpna-21 ECP_1086,2,6;10
ECP_3001,NA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_3007,ECP_3007,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_3007,ECP_3007,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;3
ECP_3022,kpsD,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;8
ECP_3026,ECP_3026,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_3027,ECP_3027,KFF-acpP Jvpna-21 ECP_1086,2,4;9
ECP_3032,ECP_3032,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;5
ECP_3033,ECP_3033,KFF-acpP Jvpna-21 ECP_1086,2,9;10
ECP_3033,ECP_3033,KFF-acpP Jvpna-21 ECP_1086 reverse,2,8;9
ECP_3036,ECP_3036,KFF-acpP Jvpna-21 ECP_1086,2,4;7
ECP_3067,ECP_3067,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;4
ECP_3080,ECP_3080,KFF-acpP Jvpna-21 ECP_1086,2,2;5
ECP_3084,ECP_3084,KFF-acpP Jvpna-21 ECP_1086,2,3;5
ECP_3100,ECP_3100,KFF-acpP Jvpna-21 ECP_1086,2,1;7
ECP_3100,ECP_3100,KFF-acpP Jvpna-21 ECP_1086 reverse,2,6;10
ECP_3119,ECP_3119,KFF-acpP Jvpna-21 ECP_1086,2,2;10
ECP_3149,plsY,KFF-acpP Jvpna-21 ECP_1086,2,3;4
ECP_3197,yqjF,KFF-acpP Jvpna-21 ECP_1086 reverse,2,9;10
ECP_3208,ECP_3208,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;4
ECP_3209,ECP_3209,KFF-acpP Jvpna-21 ECP_1086,2,3;4
ECP_3220,yhaV,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;4
ECP_3227,agaA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_3241,yfkM,KFF-acpP Jvpna-21 ECP_1086 reverse,2,6;9
ECP_3269,dacB,KFF-acpP Jvpna-21 ECP_1086,2,4;9
ECP_3269,dacB,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;8
ECP_3290,rpoN,KFF-acpP Jvpna-21 ECP_1086,2,7;10
ECP_3300,ECP_3300,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;9
ECP_3336,ECP_3336,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;4
ECP_3355,yhdJ,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;4
ECP_3366,yhdZ,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_3386,ECP_3386,KFF-acpP Jvpna-21 ECP_1086,2,2;7
ECP_3389,ECP_3389,KFF-acpP Jvpna-21 ECP_1086,2,1;7
ECP_3403,ECP_3403,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;6
ECP_3404,ECP_3404,KFF-acpP Jvpna-21 ECP_1086,2,5;8
ECP_3450,ECP_3450,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;4
ECP_3479,ECP_3479,KFF-acpP Jvpna-21 ECP_1086,2,1;8
ECP_3479,ECP_3479,KFF-acpP Jvpna-21 ECP_1086 reverse,2,7;10
ECP_3484,yrfF,KFF-acpP Jvpna-21 ECP_1086,2,2;5
ECP_3490,ECP_3490,KFF-acpP Jvpna-21 ECP_1086,2,2;5
ECP_3511,glpD,KFF-acpP Jvpna-21 ECP_1086,2,3;5
ryhB,ryhB,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;4
ECP_3549,ECP_3549,KFF-acpP Jvpna-21 ECP_1086,2,2;10
ECP_3549,ECP_3549,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;9
ECP_3551,ECP_3551,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_3608,ECP_3608,KFF-acpP Jvpna-21 ECP_1086,2,2;8
ECP_3624,ECP_3624,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;10
ECP_3641,ECP_3641,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_3657,ECP_3657,KFF-acpP Jvpna-21 ECP_1086 reverse,2,6;9
ECP_3686,sgbH,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_3702,NA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_3717,ECP_3717,KFF-acpP Jvpna-21 ECP_1086,2,3;6
ECP_3717,ECP_3717,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;5
ECP_3778,ECP_3778,KFF-acpP Jvpna-21 ECP_1086,2,5;7
