"","logFC","logCPM","F","PValue","FDR","genes"
"ECP_4179",0.0680603757638013,2.74772397774395,0.0632113572036265,0.804021340870415,0.944200176797899,"ECP_4179"
"ECP_3699",-0.0504624299797264,6.09570104286974,0.062896777942133,0.804563780121547,0.944595356902364,"ECP_3699"
"ECP_0163",0.0953691785460345,6.27728126362622,0.062771301614847,0.80518376029431,0.944777380806705,"ECP_0163"
"ECP_0361",0.0837468893180456,3.99705735190883,0.0623817850448877,0.805336725300679,0.944777380806705,"ECP_0361"
"ECP_1366",0.126279053128613,1.09293101216531,0.0625556015723459,0.805018410839426,0.944777380806705,"ECP_1366"
"ECP_0101",0.0368561346447957,4.66309299215072,0.0615456334430476,0.806565010496627,0.94581549453528,"ECP_0101"
"ECP_1801",-0.0411006214079751,7.31035866690449,0.0615007774123266,0.806634012344019,0.94581549453528,"ECP_1801"
"ECP_0858",0.0371668367303588,4.23108140990121,0.0612000673470757,0.807097286555451,0.945820753514826,"ECP_0858"
"ECP_4339",-0.114681864573924,0.835209842259348,0.0610965243263308,0.807257085243197,0.945820753514826,"ECP_4339"
"ECP_4385",0.047046482109753,4.06138144157776,0.0613358392060929,0.806887966673519,0.945820753514826,"ECP_4385"
"ECP_2536",-0.0557012515752173,7.98057666776835,0.0603982348244204,0.808608861124143,0.946577577330875,"ECP_2536"
"ECP_3004",0.0623470155875931,5.95611529887032,0.0600913747459238,0.808934838268373,0.946577577330875,"ECP_3004"
"ECP_3386",-0.033639941356717,13.0032578962269,0.0601123009383314,0.808783291983258,0.946577577330875,"ECP_3386"
"ECP_3396",0.0379716542846063,12.7570873571334,0.0605243348815989,0.808142758092716,0.946577577330875,"ECP_3396"
"ECP_3477",-0.0678640338114969,3.29103994462839,0.0603135160653466,0.808470199242545,0.946577577330875,"ECP_3477"
"ECP_1527",0.0771948995364296,3.06547430314802,0.0722814500237437,0.809495321644085,0.946991849115383,"ECP_1527"
"ECP_1169",-0.0706896317642357,4.78966106997353,0.0593820994608924,0.810011040670058,0.947003790975169,"ECP_1169"
"ECP_1839",0.102691181715488,2.70836808566818,0.0594355987592596,0.809840353234415,0.947003790975169,"ECP_1839"
"ECP_2048",-0.207539711571471,0.518349193887819,0.0592827689379688,0.810124891167771,0.947003790975169,"ECP_2048"
"ECP_1007",0.139297118963116,0.497260197497225,0.0588735564412126,0.810723176098686,0.947461709239407,"ECP_1007"
"ECP_0630",0.0922752297312134,5.28871596278833,0.0588848808457155,0.811088571220912,0.947647293986328,"ECP_0630"
"ECP_1441",-0.0387072306724945,5.39015207231746,0.0580094214168632,0.812089279381742,0.947792828490959,"ECP_1441"
"ECP_1448",-0.0660370200059893,7.71704263363201,0.0582587525519474,0.812081940847999,0.947792828490959,"ECP_1448"
"ECP_1849",0.060949130777896,3.40618271760704,0.0583881109220365,0.811489292716935,0.947792828490959,"ECP_1849"
"ECP_2791",-0.029610002772704,5.90191701779399,0.0579105547669978,0.8122462630909,0.947792828490959,"ECP_2791"
