"","control_1","control_2","control_3","genename"
"ECP_1821",2.5205878481544,3.78703954400379,8.69519776131341,"ECP_1821"
"ECP_1822",298.284098293705,255.884269912555,321.370427865483,"argS"
"ECP_1823",5.19510472520374,5.04588197396757,6.40668404583995,"ECP_1823"
"ECP_1824",4.65563123468635,7.45186844550135,3.82961843807141,"ECP_1824"
"ECP_1825",4.93587698724753,10.247389224221,3.96806618236802,"ECP_1825"
"ECP_1826",62.0181847290084,71.000986630498,49.2698566778568,"ECP_1826"
"ECP_1827",109.548625708249,96.9270260912857,59.4995806677165,"ECP_1827"
"ECP_1828",27.8704999210216,31.9291697658085,24.3033477800685,"ECP_1828"
"ECP_1829",13.0859787238678,21.8081656350931,17.1506551813817,"ECP_1829"
"ECP_1830",24.796396701158,39.7844226463936,29.5617616559486,"ECP_1830"
"ECP_1831",109.075438429063,97.5039726751624,73.0450619389838,"ECP_1831"
"ECP_1832",53.3453660972341,68.1698751273409,51.5146612159043,"ECP_1832"
"ECP_1833",41.2756456688068,49.2682814462628,36.8509014451611,"ECP_1833"
"ECP_1834",62.84438621412,97.211537189139,63.9878683668922,"ECP_1834"
"ECP_1835",30.1686939338688,38.6374359505991,46.8941280481737,"ECP_1835"
"ECP_1836",45.0258854926727,40.7835027815792,74.8349238766327,"ECP_1836"
"ECP_1837",4.75915188113069,5.05580612994784,5.55181371199701,"uspC"
"ECP_1838",2.91857540312615,2.52227705514511,3.00849863045901,"ECP_1838"
"ECP_1839",2.82023815178115,0.93893542413317,2.6965952315414,"ECP_1839"
"ECP_1840",1.14920418608863,0.627859554131603,1.37891334922375,"ECP_1840"
"ECP_1841",2.54554416348267,2.08610999183647,2.06618560664873,"ECP_1841"
"ECP_1842",2.21506204837811,2.1908493229774,1.37473482392307,"ECP_1842"
"ECP_1843",3.78088177223161,3.35669414127608,4.25308586151199,"ECP_1843"
"ECP_1844",10.3524143763484,8.97577554260638,9.99137630958373,"ECP_1844"
"ECP_1845",130.530442136567,101.315603385036,139.069156741503,"ECP_1845"
"ECP_1846",939.819183383285,153.448875029764,64.3460065034196,"ECP_1846"
"ECP_1847",7.23502067525801,9.9457604185958,6.51089687441342,"yecR"
"ECP_1848",257.525119907824,290.809794556523,214.669811676638,"ECP_1848"
"ECP_1849",22.6852906333896,15.7506417398339,21.26542930756,"ECP_1849"
"ECP_1850",34.751669094604,29.55322488435,45.7592736255086,"tyrP"
"ECP_1851",75.9582554241125,58.4339271163238,73.5668905775048,"ECP_1851"
"ECP_1852",43.3871678780676,38.3783441121099,50.6961637117204,"ECP_1852"
"ECP_1853",37.0104414808192,29.4893700403092,31.817957576319,"ECP_1853"
"ECP_1854",13.9728239408559,17.7377148602549,11.7113958505403,"ECP_1854"
"ECP_1855",38.9640871527202,51.2971720051422,19.3751689246658,"ECP_1855"
"ECP_1856",112.878499286915,152.978435334856,41.4213579555951,"ECP_1856"
"ECP_1857",1092.69296590046,1607.31221509715,1007.19600718473,"ECP_1857"
"ECP_1858",61.32176406704,62.6303961803456,55.2810477863052,"fliD"
"ECP_1859",54.8273853102199,69.3578576075013,39.902430856424,"fliS"
"ECP_1860",43.1805623167435,39.1120477495473,30.3061418765663,"fliT"
"ECP_1861",11.2816633526266,10.9529846049083,9.2378854196282,"amyA"
"ECP_1862",71.7819582843972,80.2313516041909,104.539617697454,"ECP_1862"
"ECP_1863",15.2363892313811,16.956893480614,25.5044087483041,"yedE"
